Instance,Model,flatBoolConstraints,flatTime,evaluatedReifiedConstraints,flatIntVars,solveTime,propagators,variables,boolVariables,baseMem,backjumps,trailMem,flatIntConstraints,time,flatBoolVars,nogoods,optTime,initTime,method,failures,paths,objective,restarts,eliminatedImplications,randomSeed,intVars,nSolutions,evaluatedHalfReifiedConstraints,peakMem,propagations,peakDepth,nodes
data/knapsack-250-10.dzn,Model with manual Dominance,6291,0.901021,6383,251,3599.100,21509,22885,22632,0.00,1295102,0.19,15309,3599.297,6383,43224747,3061.061,0.197,"maximize",43224747,0,14418,95, ,1578794823,251,1, ,0.00,15236874785,20,44520910
data/knapsack-250-10.dzn,Model without without Dominance, ,0.0696, ,251,3599.930,65,11714,11461,0.00,2999,0.02,64,3599.940, ,56552850,3575.416,0.010,"maximize",56552850,0,3423,169, ,1578798423,251,1, ,0.00,294611249,54,56563241
data/knapsack-250-10.dzn,Length-2 NoGood detection,1187,0.258603,1377,768,3.516,1767,14856,14084,0.00,20588,0.05,2145,3.615,2189,15200, ,0.099,"satisfy",15200,0, ,0,188,1578802023,770,8854,500,0.00,6362123,65,42632
data/knapsack-250-10.dzn,Model with length-2 NoGoods,8854,0.350494,362,251,3596.034,65,25648,25395,0.00,3410171,0.01,464,3596.114,400,58940376,3407.387,0.080,"maximize",58940376,0,12998,197, ,1578802027,251,1,38,0.00,467095732,29,62354601
data/knapsack-250-10.dzn,Length-3 NoGood detection,10598,0.840214,2184,1087,172.318,2242,32105,31013,0.00,427165,0.08,3425,172.521,3553,719976, ,0.203,"satisfy",719976,0, ,0,343,1578805625,1090,264498,810,0.00,239098361,227,1677935
data/knapsack-250-10.dzn,Model with length-3 NoGoods,273352,10.4247,498,251,14.368,65,278497,278244,0.00,13821,0.00,562,15.466,498,250337,13.677,1.098,"maximize",250337,0,15381,26, ,1578805812,251,1, ,0.00,1890320,19,264375
data/knapsack-250-10.dzn,Length-4 NoGood detection,275197,25.4334,2535,1098, , , , , , , ,3787, ,4005, , , ,"satisfy", ,0, , ,344, , ,272,812, , , , 
data/knapsack-250-10.dzn,Model with length-4 NoGoods, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
data/knapsack-250-1.dzn,Model with manual Dominance,5854,0.856972,5943,251,3599.143,20717,23962,23709,0.00,2175200,0.19,14951,3599.347,5943,41419550,3580.140,0.204,"maximize",41419550,0,15043,141, ,1578809258,251,1, ,0.00,17275197348,21,43596249
data/knapsack-250-1.dzn,Model without without Dominance, ,0.0817604, ,251,3599.918,65,12254,12001,0.00,0,0.02,64,3599.928, ,47941448,3586.957,0.010,"maximize",47941448,0,3511,137, ,1578812857,251,1, ,0.00,218930431,49,47947117
data/knapsack-250-1.dzn,Length-2 NoGood detection,1185,0.329121,1375,764,3.212,1761,14804,14036,0.00,26281,0.05,2137,3.310,2185,14315, ,0.098,"satisfy",14315,0, ,0,186,1578816458,766,8942,496,0.00,5987532,75,49011
data/knapsack-250-1.dzn,Model with length-2 NoGoods,8942,0.354489,392,251,3596.376,65,21617,21364,0.00,38713,0.01,489,3596.456,425,67367952,2999.453,0.080,"maximize",67367952,0,13388,275, ,1578816461,251,1,33,0.00,437776664,37,67412251
data/knapsack-250-1.dzn,Length-3 NoGood detection,10711,0.948179,2209,1087,176.076,2242,32215,31123,0.00,492395,0.08,3450,176.280,3603,741084, ,0.204,"satisfy",741084,0, ,0,343,1578820059,1090,244484,810,0.00,235968776,200,1795757
data/knapsack-250-1.dzn,Model with length-3 NoGoods,253426,9.87359,489,251,1.500,65,257743,257490,0.00,4834,0.00,556,2.559,492,28780,1.495,1.059,"maximize",28780,0,15499,29, ,1578820249,251,1,3,0.00,146592,15,33821
data/knapsack-250-1.dzn,Length-4 NoGood detection,255264,24.4218,2528,1096, , , , , , , ,3777, ,3991, , , ,"satisfy", ,0, , ,343, , ,34867,810, , , , 
data/knapsack-250-1.dzn,Model with length-4 NoGoods, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
data/knapsack-250-2.dzn,Model with manual Dominance,5704,0.830706,5794,251,3599.169,20919,24361,24108,0.00,780668,0.19,15304,3599.373,5794,43988820,2184.398,0.204,"maximize",43988820,0,16395,124, ,1578823679,251,1, ,0.00,17482227253,22,44771190
data/knapsack-250-2.dzn,Model without without Dominance, ,0.0769862, ,251,3599.923,65,19367,19114,0.00,0,0.02,64,3599.933, ,42581445,3357.173,0.010,"maximize",42581445,0,4176,149, ,1578827278,251,1, ,0.00,217079304,54,42588192
data/knapsack-250-2.dzn,Length-2 NoGood detection,1179,0.26509,1369,752,3.528,1743,14760,14004,0.00,21893,0.05,2113,3.625,2173,15297, ,0.097,"satisfy",15297,0, ,0,180,1578830879,754,9440,484,0.00,6855388,101,45331
data/knapsack-250-2.dzn,Model with length-2 NoGoods,9440,0.363491,389,251,3596.011,65,27937,27684,0.00,6394,0.01,474,3596.077,410,59515777,3367.880,0.066,"maximize",59515777,0,15025,169, ,1578830883,251,1,21,0.00,461794020,35,59525634
data/knapsack-250-2.dzn,Length-3 NoGood detection,11191,0.932387,2191,1081,161.505,2233,32710,31624,0.00,414535,0.08,3423,161.710,3567,697910, ,0.205,"satisfy",697910,0, ,0,340,1578834480,1084,219495,804,0.00,251725918,259,1547740
data/knapsack-250-2.dzn,Model with length-3 NoGoods,228935,8.14489,497,251,3.806,65,234032,233779,0.00,317,0.01,562,4.782,498,67068,2.639,0.976,"maximize",67068,0,16966,16, ,1578834654,251,1,1,0.00,464226,13,67507
data/knapsack-250-2.dzn,Length-4 NoGood detection,230776,20.2853,2531,1090, , , , , , , ,3771, ,3997, , , ,"satisfy", ,0, , ,340, , ,2225,804, , , , 
data/knapsack-250-2.dzn,Model with length-4 NoGoods, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
data/knapsack-250-3.dzn,Model with manual Dominance,6435,0.855483,6534,251,3599.144,22321,21053,20800,0.00,3027103,0.19,15984,3599.359,6534,47884957,2728.157,0.215,"maximize",47884957,0,15039,96, ,1578838099,251,1, ,0.00,16828048218,21,50913193
data/knapsack-250-3.dzn,Model without without Dominance, ,0.0429026, ,251,3599.957,65,15229,14976,0.00,0,0.02,64,3599.967, ,50998265,1780.590,0.010,"maximize",50998265,0,3329,122, ,1578841699,251,1, ,0.00,284515661,50,51003442
data/knapsack-250-3.dzn,Length-2 NoGood detection,1197,0.31869,1387,788,3.374,1797,15028,14236,0.00,26881,0.05,2185,3.473,2209,15503, ,0.099,"satisfy",15503,0, ,0,198,1578845299,790,9375,520,0.00,6313222,78,49904
data/knapsack-250-3.dzn,Model with length-2 NoGoods,9375,0.361534,384,251,3596.165,65,21484,21231,0.00,83,0.01,467,3596.226,403,75020761,3556.427,0.061,"maximize",75020761,0,12613,232, ,1578845303,251,1,19,0.00,533756214,23,75024740
data/knapsack-250-3.dzn,Length-3 NoGood detection,11128,0.904543,2193,1099,145.016,2260,32754,31650,0.00,389936,0.08,3452,145.215,3571,623867, ,0.199,"satisfy",623867,0, ,0,349,1578848901,1102,192138,822,0.00,225179913,228,1450460
data/knapsack-250-3.dzn,Model with length-3 NoGoods,201513,7.43793,495,251,5.487,65,206545,206292,0.00,1347,0.01,563,6.394,499,78538,5.407,0.907,"maximize",78538,0,15584,27, ,1578849057,251,1,4,0.00,841134,15,80106
data/knapsack-250-3.dzn,Length-4 NoGood detection,203364,18.006,2541,1108, , , , , , , ,3808, ,4017, , , ,"satisfy", ,0, , ,349, , ,56354,822, , , , 
