Instance,Model,flatBoolConstraints,flatTime,evaluatedReifiedConstraints,flatIntVars,solveTime,propagators,variables,boolVariables,baseMem,backjumps,trailMem,flatIntConstraints,time,flatBoolVars,nogoods,optTime,initTime,method,failures,paths,objective,restarts,eliminatedImplications,randomSeed,intVars,nSolutions,evaluatedHalfReifiedConstraints,peakMem,propagations,peakDepth,nodes
data/knapsack-200-10.dzn,Model with manual Dominance,3232,0.534107,3294,201,3599.466,13066,15202,14999,0.00,3227458,0.12,9895,3599.608,3294,55636131,3381.341,0.142,"maximize",55636131,0,10156,238, ,1578794822,201,1, ,0.00,18960112343,20,58866228
data/knapsack-200-10.dzn,Model without without Dominance, ,0.0513903, ,201,3599.949,42,10351,10148,0.00,893342,0.01,41,3599.957, ,61103051,1750.611,0.008,"maximize",61103051,0,2511,176, ,1578798422,201,1, ,0.00,289682358,46,62002831
data/knapsack-200-10.dzn,Length-2 NoGood detection,799,0.277407,1004,548,1.762,1144,11131,10579,0.00,11705,0.05,1517,1.814,1524,10080, ,0.052,"satisfy",10080,0, ,0,126,1578802022,550,6548,330,0.00,2980093,59,26425
data/knapsack-200-10.dzn,Model with length-2 NoGoods,6548,0.232988,308,201,3597.953,42,16117,15914,0.00,15445846,0.01,375,3598.013,334,84679857,2626.801,0.060,"maximize",84679857,0,9438,154, ,1578802024,201,1,26,0.00,472367132,35,100129702
data/knapsack-200-10.dzn,Length-3 NoGood detection,7820,0.785995,1677,831,87.607,1565,24614,23778,0.00,225323,0.08,2609,87.773,2670,441470, ,0.166,"satisfy",441470,0, ,0,263,1578805623,834,154333,604,0.00,119373447,151,953972
data/knapsack-200-10.dzn,Model with length-3 NoGoods,160881,6.43075,398,201,0.315,42,163812,163609,0.00,989,0.00,441,1.062,400,7356,0.313,0.747,"maximize",7356,0,10219,17, ,1578805720,201,1,2,0.00,46078,11,8481
data/knapsack-200-10.dzn,Length-4 NoGood detection,162221,14.9701,1945,840, , , , , , , ,2885, ,3006, , , ,"satisfy", ,0, , ,263, , ,106204,604, , , , 
data/knapsack-200-10.dzn,Model with length-4 NoGoods, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
data/knapsack-200-1.dzn,Model with manual Dominance,2710,0.548707,2769,201,642.521,12369,14610,14407,0.00,187397,0.12,9717,642.656,2769,13722325,640.637,0.135,"maximize",13722325,0,10449,155, ,1578809238,201,1, ,0.00,2995765825,18,13910898
data/knapsack-200-1.dzn,Model without without Dominance, ,0.0730313, ,201,3599.928,42,9717,9514,0.00,2,0.01,41,3599.936, ,62392129,2616.815,0.008,"maximize",62392129,0,2623,132, ,1578809881,201,1, ,0.00,253182972,42,62396457
data/knapsack-200-1.dzn,Length-2 NoGood detection,799,0.27795,1004,548,1.841,1144,11119,10567,0.00,15833,0.04,1517,1.916,1524,10593, ,0.075,"satisfy",10593,0, ,0,126,1578813481,550,6894,330,0.00,3462341,53,31681
data/knapsack-200-1.dzn,Model with length-2 NoGoods,6894,0.313344,319,201,3597.770,42,16271,16068,0.00,5636089,0.01,384,3597.837,343,85690956,3505.765,0.067,"maximize",85690956,0,9897,224, ,1578813484,201,1,24,0.00,407404568,30,91331665
data/knapsack-200-1.dzn,Length-3 NoGood detection,8175,1.01211,1686,831,83.794,1565,24960,24124,0.00,228471,0.08,2618,83.957,2688,416391, ,0.163,"satisfy",416391,0, ,0,263,1578817083,834,140337,604,0.00,100136291,208,917526
data/knapsack-200-1.dzn,Model with length-3 NoGoods,147231,5.89363,398,201,0.128,42,149895,149692,0.00,279,0.00,440,0.826,399,2066,0.100,0.698,"maximize",2066,0,10449,11, ,1578817175,201,1,1,0.00,12370,11,2442
data/knapsack-200-1.dzn,Length-4 NoGood detection,148570,14.1119,1944,840, , , , , , , ,2884, ,3004, , , ,"satisfy", ,0, , ,263, , ,503440,604, , , , 
data/knapsack-200-1.dzn,Model with length-4 NoGoods, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
data/knapsack-200-2.dzn,Model with manual Dominance,2983,0.523809,3044,201,3599.476,12240,15448,15245,0.00,2475243,0.12,9317,3599.615,3044,62565389,3285.957,0.139,"maximize",62565389,0,10080,195, ,1578820701,201,1, ,0.00,15016968598,22,65043247
