Instance,Model,flatBoolConstraints,flatTime,evaluatedReifiedConstraints,flatIntVars,solveTime,propagators,variables,boolVariables,baseMem,backjumps,trailMem,flatIntConstraints,time,flatBoolVars,nogoods,optTime,initTime,method,failures,paths,objective,restarts,eliminatedImplications,randomSeed,intVars,nSolutions,evaluatedHalfReifiedConstraints,peakMem,propagations,peakDepth,nodes
test_data/concert-25-100-1000-01.dzn,Model with manual Dominance,191,0.210514,243,426,3599.789,949,5361,4920,0.00,24699143,0.02,814,3599.824,245,94748166,0.456,0.035,"maximize",94748166,0,31651,18, ,1579225838,439,1,2,0.00,21546532884,34,119447858
test_data/concert-25-100-1000-01.dzn,Model without without Dominance,185,0.218294,242,426,3599.782,949,5371,4930,0.00,25240024,0.02,811,3599.803,242,97952492,0.268,0.021,"maximize",97952492,0,31651,20, ,1579229438,439,1, ,0.00,21923576629,34,123193106
test_data/concert-25-100-1000-01.dzn,Length-2 NoGood detection,226,0.156158,114,77,0.101,106,1934,1851,0.00,494,0.19,215,0.118,216,1440, ,0.017,"satisfy",1440,0, ,0,40,1579233038,81,682,70,0.00,87385,40,13710
test_data/concert-25-100-1000-01.dzn,Model with length-2 NoGoods,867,0.234888,402,426,2.274,949,5957,5516,0.00,19246,0.02,983,2.318,414,63154,2.252,0.044,"maximize",63154,0,41464,43, ,1579233039,439,1,12,0.00,14363210,37,83764
test_data/concert-25-100-1000-01.dzn,Length-3 NoGood detection,1232,0.232801,355,147,0.831,238,6713,6558,0.00,4066,0.28,575,0.876,720,13789, ,0.045,"satisfy",13789,0, ,0,82,1579233042,153,2601,152,0.00,1714433,69,85193
test_data/concert-25-100-1000-01.dzn,Model with length-3 NoGoods,3468,0.312203,443,426,0.730,949,8321,7880,0.00,5062,0.02,1012,0.797,443,18070,0.712,0.067,"maximize",18070,0,41464,41, ,1579233043,439,1, ,0.00,4704968,29,24059
test_data/concert-25-100-1000-01.dzn,Length-4 NoGood detection,4014,0.390845,435,177,18.082,320,25206,25019,0.00,31683,0.42,716,18.172,912,136521, ,0.090,"satisfy",136521,0, ,0,104,1579233044,185,6116,196,0.00,16752380,84,367822
test_data/concert-25-100-1000-01.dzn,Model with length-4 NoGoods,9584,0.560065,445,426,0.797,949,14336,13895,0.00,4575,0.02,1014,0.920,445,17318,0.774,0.123,"maximize",17318,0,41464,35, ,1579233063,439,1, ,0.00,4470490,27,22616
test_data/concert-25-100-1000-02.dzn,Model with manual Dominance,208,0.273365,256,417,88.585,986,5789,5367,0.00,102761,0.02,817,88.621,257,1876543,80.100,0.036,"maximize",1876543,0,37380,44, ,1579233065,420,1,1,0.00,572807133,33,1980510
test_data/concert-25-100-1000-02.dzn,Model without without Dominance,198,0.234469,253,417,174.039,986,7543,7121,0.00,156129,0.02,813,174.074,253,3470954,137.488,0.035,"maximize",3470954,0,37380,44, ,1579233154,420,1, ,0.00,1109862853,32,3628250
test_data/concert-25-100-1000-02.dzn,Length-2 NoGood detection,226,0.179974,110,53,0.101,58,1604,1545,0.00,510,0.28,175,0.116,208,1524, ,0.015,"satisfy",1524,0, ,0,16,1579233328,57,714,46,0.00,49805,38,15456
test_data/concert-25-100-1000-02.dzn,Model with length-2 NoGoods,912,0.25661,369,417,1.004,986,5187,4765,0.00,1436,0.02,945,1.048,385,20335,0.758,0.044,"maximize",20335,0,37380,22, ,1579233329,420,1,16,0.00,5574400,40,22609
test_data/concert-25-100-1000-02.dzn,Length-3 NoGood detection,1234,0.202263,307,107,0.783,160,5372,5257,0.00,4036,0.42,467,0.824,630,12684, ,0.041,"satisfy",12684,0, ,0,44,1579233330,113,1061,112,0.00,1087125,61,46935
test_data/concert-25-100-1000-02.dzn,Model with length-3 NoGoods,1973,0.288972,425,417,0.660,986,6282,5860,0.00,1322,0.02,993,0.715,433,15166,0.475,0.055,"maximize",15166,0,37380,24, ,1579233332,420,1,8,0.00,3878885,30,17154
test_data/concert-25-100-1000-02.dzn,Length-4 NoGood detection,2516,0.303794,405,127,8.872,221,17895,17758,0.00,19725,0.42,611,8.938,868,84880, ,0.066,"satisfy",84880,0, ,0,55,1579233333,135,1808,146,0.00,8789426,75,176083
test_data/concert-25-100-1000-02.dzn,Model with length-4 NoGoods,3781,0.383599,434,417,0.609,986,8069,7647,0.00,1099,0.02,996,0.682,436,13889,0.427,0.073,"maximize",13889,0,37380,24, ,1579233342,420,1,2,0.00,3529375,24,15525
test_data/concert-25-100-1000-03.dzn,Model with manual Dominance,247,0.217401,297,536,71.366,1196,8992,8411,0.00,275161,0.02,1024,71.407,297,1642539,59.621,0.041,"maximize",1642539,0,46343,44, ,1579233344,579,1, ,0.00,460060494,28,1918571
test_data/concert-25-100-1000-03.dzn,Model without without Dominance,234,0.222663,294,536,599.680,1196,15928,15347,0.00,711497,0.02,1021,599.706,294,6795674,322.983,0.026,"maximize",6795674,0,46343,44, ,1579233415,579,1, ,0.00,2150770197,29,7508079
test_data/concert-25-100-1000-03.dzn,Length-2 NoGood detection,274,0.299387,118,105,0.122,162,2546,2435,0.00,545,0.19,267,0.143,252,1468, ,0.021,"satisfy",1468,0, ,0,64,1579234015,109,631,102,0.00,120614,57,19131
test_data/concert-25-100-1000-03.dzn,Model with length-2 NoGoods,865,0.289188,403,536,1.137,1196,6460,5879,0.00,7086,0.02,1137,1.184,410,30876,0.960,0.047,"maximize",30876,0,46343,38, ,1579234016,579,1,7,0.00,8984889,28,38822
test_data/concert-25-100-1000-03.dzn,Length-3 NoGood detection,1206,0.228101,302,183,0.867,313,7931,7740,0.00,3628,0.28,585,0.913,662,13362, ,0.046,"satisfy",13362,0, ,0,115,1579234018,189,812,194,0.00,2387644,85,56717
test_data/concert-25-100-1000-03.dzn,Model with length-3 NoGoods,1677,0.286008,435,536,0.648,1196,7181,6600,0.00,4574,0.02,1170,0.703,443,16567,0.548,0.055,"maximize",16567,0,46343,29, ,1579234019,579,1,8,0.00,4721126,27,21769
test_data/concert-25-100-1000-03.dzn,Length-4 NoGood detection,2251,0.306604,392,235,17.019,435,26663,26418,0.00,22063,0.42,772,17.088,898,116931, ,0.069,"satisfy",116931,0, ,0,153,1579234020,243,1971,262,0.00,24209412,112,270957
test_data/concert-25-100-1000-03.dzn,Model with length-4 NoGoods,3648,0.426953,452,536,0.726,1196,9183,8602,0.00,4917,0.02,1180,0.804,453,16686,0.612,0.078,"maximize",16686,0,46343,26, ,1579234038,579,1,1,0.00,4784177,22,22061
test_data/concert-25-100-1000-04.dzn,Model with manual Dominance,218,0.209095,269,386,40.296,968,5161,4759,0.00,34743,0.02,777,40.331,272,821804,0.560,0.035,"maximize",821804,0,38553,55, ,1579234039,400,1,3,0.00,214295467,34,858219
test_data/concert-25-100-1000-04.dzn,Model without without Dominance,207,0.232694,267,386,174.497,968,5764,5362,0.00,131182,0.02,772,174.532,267,3592594,1.177,0.035,"maximize",3592594,0,38553,83, ,1579234080,400,1, ,0.00,946268729,32,3726232
