Instance,Model,flatBoolConstraints,flatTime,evaluatedReifiedConstraints,flatIntVars,solveTime,propagators,variables,boolVariables,baseMem,backjumps,trailMem,flatIntConstraints,time,flatBoolVars,nogoods,optTime,initTime,method,failures,paths,objective,restarts,eliminatedImplications,randomSeed,intVars,nSolutions,evaluatedHalfReifiedConstraints,peakMem,propagations,peakDepth,nodes
data/wmcp-40-0.10-10-01.dzn,Model without without Dominance, ,0.0295089,78,119,18.512,237,1692,1571,0.00,132202,0.01,157,18.518,78,526775,13.423,0.006,"maximize",526775,0,392,140, ,1578794638,119,1, ,0.00,33959200,41,662658
data/wmcp-40-0.10-10-01.dzn,Length-2 NoGood detection,367,0.178799,441,442,0.075,964,3906,3460,0.00,0,0.02,926,0.092,689,2386, ,0.017,"satisfy",2386,0, ,0,80,1578794657,444,11,244,0.00,655385,6,2430
data/wmcp-40-0.10-10-01.dzn,Model with length-2 NoGoods,11,0.063935,80,119,10.108,237,1723,1602,0.00,72548,0.01,177,10.116,98,304112,7.581,0.008,"maximize",304112,0,392,140, ,1578794657,119,1,18,0.00,18957809,51,380571
data/wmcp-40-0.10-10-01.dzn,Length-3 NoGood detection,401,0.177268,503,445,1.318,970,4342,3892,0.00,399,0.02,992,1.394,775,36791, ,0.076,"satisfy",36791,0, ,0,80,1578794667,448,50,246,0.00,7565964,8,37440
data/wmcp-40-0.10-10-01.dzn,Model with length-3 NoGoods,61,0.0471015,112,119,3.178,237,1793,1672,0.00,20839,0.01,197,3.184,118,108704,2.215,0.006,"maximize",108704,0,392,140, ,1578794669,119,1,6,0.00,6370404,46,133155
data/wmcp-40-0.10-10-01.dzn,Length-4 NoGood detection,474,0.192522,565,448,32.392,976,4817,4363,0.00,4653,0.02,1058,32.439,861,432943, ,0.047,"satisfy",432943,0, ,0,80,1578794672,452,38,248,0.00,74183721,9,437786
data/wmcp-40-0.10-10-01.dzn,Model with length-4 NoGoods,99,0.0556101,114,119,3.036,237,1831,1710,0.00,17921,0.01,197,3.051,118,100974,2.112,0.015,"maximize",100974,0,392,140, ,1578794705,119,1,4,0.00,5945436,44,122371
data/wmcp-40-0.10-10-01.dzn,Length-5 NoGood detection,515,0.20661,607,451,1159.821,982,5240,4782,0.00,13415,0.04,1104,1159.871,907,8020373, ,0.050,"satisfy",8020373,0, ,0,80,1578794708,456,20,250,0.00,1315255038,10,8033888
data/wmcp-40-0.10-10-01.dzn,Model with length-5 NoGoods,119,0.0686043,114,119,2.681,237,1851,1730,0.00,17757,0.01,197,2.696,118,100265,1.913,0.015,"maximize",100265,0,392,140, ,1578795868,119,1,4,0.00,5905511,44,121498
data/wmcp-40-0.10-10-02.dzn,Model without without Dominance, ,0.0613536,69,110,12.650,210,1463,1351,0.00,244171,0.01,139,12.661,69,423585,1.454,0.011,"maximize",423585,0,326,65, ,1578795872,110,1, ,0.00,26700781,41,669746
data/wmcp-40-0.10-10-02.dzn,Length-2 NoGood detection,367,0.223635,423,424,0.094,910,3780,3352,0.00,2,0.02,890,0.120,671,2320, ,0.026,"satisfy",2320,0, ,0,80,1578795885,426,15,244,0.00,616169,7,2387
data/wmcp-40-0.10-10-02.dzn,Model with length-2 NoGoods,15,0.0612505,70,110,3.707,210,1507,1395,0.00,51950,0.01,168,3.719,98,127967,0.589,0.012,"maximize",127967,0,326,65, ,1578795885,110,1,28,0.00,8358526,55,182371
data/wmcp-40-0.10-10-02.dzn,Length-3 NoGood detection,414,0.184436,494,427,1.266,916,4238,3806,0.00,794,0.02,965,1.299,775,35980, ,0.033,"satisfy",35980,0, ,0,80,1578795889,430,27,246,0.00,6523180,8,36909
data/wmcp-40-0.10-10-02.dzn,Model with length-3 NoGoods,42,0.0621437,94,110,2.618,210,1544,1432,0.00,37733,0.01,178,2.628,108,94924,0.511,0.010,"maximize",94924,0,326,65, ,1578795890,110,1,14,0.00,6201247,52,134950
data/wmcp-40-0.10-10-02.dzn,Length-4 NoGood detection,454,0.189208,546,430,30.799,922,4670,4234,0.00,18773,0.02,1021,30.835,841,388902, ,0.036,"satisfy",388902,0, ,0,80,1578795893,434,18,248,0.00,55427007,9,407765
data/wmcp-40-0.10-10-02.dzn,Model with length-4 NoGoods,60,0.0645502,100,110,2.277,210,1562,1450,0.00,33233,0.01,178,2.286,108,84537,0.447,0.009,"maximize",84537,0,326,65, ,1578795924,110,1,8,0.00,5639228,48,119923
data/wmcp-40-0.10-10-02.dzn,Length-5 NoGood detection,475,0.191489,588,433,677.102,928,5073,4633,0.00,505166,0.02,1067,677.140,887,5600989, ,0.038,"satisfy",5600989,0, ,0,80,1578795927,438,11,250,0.00,817709863,10,6106210
data/wmcp-40-0.10-10-02.dzn,Model with length-5 NoGoods,71,0.06536,102,110,2.352,210,1573,1461,0.00,33290,0.01,178,2.365,108,85161,0.480,0.013,"maximize",85161,0,326,65, ,1578796604,110,1,6,0.00,5695974,46,120583
data/wmcp-40-0.10-10-03.dzn,Model without without Dominance, ,0.0386054,81,122,30.276,246,1673,1549,0.00,154100,0.01,163,30.288,81,958991,7.768,0.012,"maximize",958991,0,363,92, ,1578796607,122,1, ,0.00,64420014,41,1115704
data/wmcp-40-0.10-10-03.dzn,Length-2 NoGood detection,367,0.188506,447,448,0.118,982,3948,3496,0.00,0,0.02,938,0.159,695,2387, ,0.041,"satisfy",2387,0, ,0,80,1578796638,450,12,244,0.00,647625,7,2436
data/wmcp-40-0.10-10-03.dzn,Model with length-2 NoGoods,12,0.0622483,83,122,14.727,246,1707,1583,0.00,72320,0.01,185,14.740,103,487700,3.326,0.013,"maximize",487700,0,363,92, ,1578796638,122,1,20,0.00,33275405,52,563012
data/wmcp-40-0.10-10-03.dzn,Length-3 NoGood detection,404,0.19,511,451,1.226,988,4389,3933,0.00,470,0.02,1006,1.260,785,36121, ,0.034,"satisfy",36121,0, ,0,80,1578796653,454,36,246,0.00,7364253,8,36771
data/wmcp-40-0.10-10-03.dzn,Model with length-3 NoGoods,48,0.0643942,110,122,5.738,246,1761,1637,0.00,28357,0.01,203,5.748,121,192599,1.459,0.010,"maximize",192599,0,363,92, ,1578796654,122,1,11,0.00,12759401,51,223944
data/wmcp-40-0.10-10-03.dzn,Length-4 NoGood detection,461,0.19532,571,454,30.368,994,4846,4386,0.00,7800,0.02,1070,30.404,867,450013, ,0.036,"satisfy",450013,0, ,0,80,1578796660,458,61,248,0.00,77435044,9,458118
data/wmcp-40-0.10-10-03.dzn,Model with length-4 NoGoods,109,0.0685859,112,122,4.642,246,1822,1698,0.00,21327,0.01,203,4.652,121,158687,1.114,0.010,"maximize",158687,0,363,92, ,1578796691,122,1,9,0.00,10546387,49,182919
data/wmcp-40-0.10-10-03.dzn,Length-5 NoGood detection,525,0.203001,613,457,1121.191,1000,5292,4828,0.00,18585,0.04,1116,1121.231,913,7663702, ,0.040,"satisfy",7663702,0, ,0,80,1578796696,462,41,250,0.00,1268286056,10,7682492
data/wmcp-40-0.10-10-03.dzn,Model with length-5 NoGoods,150,0.071704,112,122,4.664,246,1863,1739,0.00,20510,0.01,203,4.677,121,157902,1.122,0.013,"maximize",157902,0,363,92, ,1578797817,122,1,9,0.00,10479838,49,181317
data/wmcp-40-0.10-10-04.dzn,Model without without Dominance, ,0.06276,64,105,29.124,195,1432,1325,0.00,146477,0.00,129,29.135,64,523423,17.621,0.011,"maximize",523423,0,328,126, ,1578797823,105,1, ,0.00,32238770,41,673566
data/wmcp-40-0.10-10-04.dzn,Length-2 NoGood detection,367,0.192957,413,414,0.098,880,3710,3292,0.00,0,0.02,870,0.126,661,2385, ,0.028,"satisfy",2385,0, ,0,80,1578797852,416,20,244,0.00,611521,7,2469
data/wmcp-40-0.10-10-04.dzn,Model with length-2 NoGoods,20,0.0620786,69,105,3.347,195,1487,1380,0.00,15039,0.01,164,3.359,99,104113,2.210,0.012,"maximize",104113,0,328,126, ,1578797852,105,1,30,0.00,6320331,60,123781
data/wmcp-40-0.10-10-04.dzn,Length-3 NoGood detection,425,0.18782,490,417,1.217,886,4185,3763,0.00,342,0.02,951,1.236,777,36153, ,0.019,"satisfy",36153,0, ,0,80,1578797856,420,20,246,0.00,6902057,10,36598
