Instance,Model,flatBoolConstraints,flatTime,evaluatedReifiedConstraints,flatIntVars,solveTime,propagators,variables,boolVariables,baseMem,backjumps,trailMem,flatIntConstraints,time,flatBoolVars,nogoods,optTime,initTime,method,failures,paths,objective,restarts,eliminatedImplications,randomSeed,intVars,nSolutions,evaluatedHalfReifiedConstraints,peakMem,propagations,peakDepth,nodes
data/knapsack-250-10.dzn,Model with manual Dominance, ,0.455107, ,251,2343.301,15156,17066,16813,0.00,3319,0.28,15155,2343.427, ,57106235,2341.175,0.126,"maximize",57106235,0,15956,238, ,1578794532,251,1, ,0.00,14743619185,18,57111201
data/knapsack-250-10.dzn,Model without without Dominance, ,0.0685071, ,251,3599.931,3,13183,12930,0.00,0,0.02,2,3599.940, ,56095969,2241.140,0.009,"maximize",56095969,0,3415,180, ,1578796875,251,1, ,0.00,182754144,54,56103890
data/knapsack-250-10.dzn,Length-2 NoGood detection,256,0.189035,756,268,2.677,27,9804,9532,0.00,18595,0.04,774,2.729,761,18844, ,0.052,"satisfy",18844,0, ,0, ,1578800476,270,15153, ,0.00,652318,42,37439
data/knapsack-250-10.dzn,Model with length-2 NoGoods,15153,0.498907,472,251,2102.764,3,32704,32451,0.00,3366,0.01,487,2102.877,485,57106537,2100.747,0.113,"maximize",57106537,0,15956,238, ,1578800479,251,1,13,0.00,144085401,18,57111550
data/knapsack-250-10.dzn,Length-3 NoGood detection,16146,1.09646,1743,777,283.082,787,34951,34169,0.00,741140,0.08,2519,283.301,2485,1574913, ,0.219,"satisfy",1574913,0, ,0,250,1578802584,780,517055,500,0.00,159682521,282,2839785
data/knapsack-250-10.dzn,Model with length-3 NoGoods,532208,19.0628,500,251,0.487,3,534865,534612,0.00,7,0.00,502,2.587,500,832,0.461,2.100,"maximize",832,0,15956,8, ,1578802894,251,1, ,0.00,2367,9,877
data/knapsack-250-10.dzn,Length-4 NoGood detection,533218,45.8643,2010,786, , , , , , , ,2794, ,2769, , , ,"satisfy", ,0, , ,250, , ,153,500, , , , 
data/knapsack-250-10.dzn,Model with length-4 NoGoods, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
data/knapsack-250-1.dzn,Model with manual Dominance, ,0.50303, ,251,3599.497,14801,17771,17518,0.00,66,0.28,14800,3599.622, ,82143825,3405.089,0.125,"maximize",82143825,0,15943,188, ,1578806219,251,1, ,0.00,21706578808,18,82145345
data/knapsack-250-1.dzn,Model without without Dominance, ,0.0745296, ,251,3599.925,3,13266,13013,0.00,0,0.01,2,3599.934, ,49262020,2017.700,0.009,"maximize",49262020,0,3383,112, ,1578809819,251,1, ,0.00,157257655,48,49266627
data/knapsack-250-1.dzn,Length-2 NoGood detection,256,0.246708,756,268,2.650,27,9784,9512,0.00,15515,0.04,774,2.702,761,18904, ,0.052,"satisfy",18904,0, ,0, ,1578813419,270,14798, ,0.00,651269,31,34419
