Instance,Model,flatBoolConstraints,flatTime,evaluatedReifiedConstraints,flatIntVars,solveTime,propagators,variables,boolVariables,baseMem,backjumps,trailMem,flatIntConstraints,time,flatBoolVars,nogoods,optTime,initTime,method,failures,paths,objective,restarts,eliminatedImplications,randomSeed,intVars,nSolutions,evaluatedHalfReifiedConstraints,peakMem,propagations,peakDepth,nodes
data/knapsack-300-10.dzn,Model with manual Dominance, ,0.651083, ,301,3599.629,21391,25467,25164,0.00,7868,0.28,21390,3599.790, ,70189413,3213.468,0.161,"maximize",70189413,0,22881,331, ,1578794533,301,1, ,0.00,27861764248,20,70199732
data/knapsack-300-10.dzn,Model without without Dominance, ,0.0480684, ,301,3599.953,3,14429,14126,0.00,0,0.02,2,3599.963, ,48631865,3144.608,0.010,"maximize",48631865,0,4416,147, ,1578798133,301,1, ,0.00,157274649,63,48639763
data/knapsack-300-10.dzn,Length-2 NoGood detection,306,0.250886,906,318,4.434,27,11754,11432,0.00,26605,0.04,924,4.493,911,25769, ,0.059,"satisfy",25769,0, ,0, ,1578801733,320,21388, ,0.00,898917,37,52374
data/knapsack-300-10.dzn,Model with length-2 NoGoods,21388,0.674018,574,301,3594.833,3,47440,47137,0.00,8139,0.02,587,3594.977,585,87402099,3531.053,0.144,"maximize",87402099,0,22916,340, ,1578801739,301,1,11,0.00,213369722,20,87412750
data/knapsack-300-10.dzn,Length-3 NoGood detection,22581,1.62005,2093,927,633.931,937,45136,44204,0.00,1371370,0.08,3019,634.198,2985,2831731, ,0.267,"satisfy",2831731,0, ,0,300,1578805336,930,880731,600,0.00,305747098,328,5083839
data/knapsack-300-10.dzn,Model with length-3 NoGoods,902119,34.2236,600,301,1.551,3,905408,905105,0.00,15,0.01,602,5.149,600,1163,1.545,3.598,"maximize",1163,0,23105,11, ,1578806017,301,1, ,0.00,3378,9,1229
data/knapsack-300-10.dzn,Length-4 NoGood detection,903329,82.2189,2410,936, , , , , , , ,3344, ,3319, , , ,"satisfy", ,0, , ,300, , ,2581,600, , , , 
data/knapsack-300-10.dzn,Model with length-4 NoGoods, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
data/knapsack-300-1.dzn,Model with manual Dominance, ,0.713486, ,301,3599.286,21191,23444,23141,0.00,0,0.28,21190,3599.446, ,68217721,3521.477,0.160,"maximize",68217721,0,22054,259, ,1578808996,301,1, ,0.00,27577842938,21,68220051
data/knapsack-300-1.dzn,Model without without Dominance, ,0.0772741, ,301,3599.922,3,16930,16627,0.00,0,0.02,2,3599.932, ,42713131,1596.282,0.010,"maximize",42713131,0,4116,95, ,1578812595,301,1, ,0.00,136127388,56,42717704
