Instance,Model,flatBoolConstraints,flatTime,evaluatedReifiedConstraints,flatIntVars,solveTime,propagators,variables,boolVariables,baseMem,backjumps,trailMem,flatIntConstraints,time,flatBoolVars,nogoods,optTime,initTime,method,failures,paths,objective,restarts,eliminatedImplications,randomSeed,intVars,nSolutions,evaluatedHalfReifiedConstraints,peakMem,propagations,peakDepth,nodes
data/knapsack-200-10.dzn,Model with manual Dominance, ,0.320704, ,201,433.023,9795,10526,10323,0.00,188,0.19,9794,433.114, ,11331373,432.585,0.091,"maximize",11331373,0,10709,174, ,1578794531,201,1, ,0.00,2594039131,17,11332625
data/knapsack-200-10.dzn,Model without without Dominance, ,0.0697178, ,201,3599.930,3,10552,10349,0.00,0,0.01,2,3599.938, ,72123386,2340.754,0.008,"maximize",72123386,0,2758,223, ,1578794964,201,1, ,0.00,233160111,48,72131544
data/knapsack-200-10.dzn,Length-2 NoGood detection,206,0.173867,606,218,1.551,27,7830,7608,0.00,12564,0.02,624,1.594,611,12810, ,0.043,"satisfy",12810,0, ,0, ,1578798564,220,9792, ,0.00,447121,25,25374
data/knapsack-200-10.dzn,Model with length-2 NoGoods,9792,0.329648,375,201,373.686,3,20707,20504,0.00,178,0.01,391,373.770,389,11331411,373.313,0.084,"maximize",11331411,0,10709,174, ,1578798566,201,1,14,0.00,28982680,17,11332825
data/knapsack-200-10.dzn,Length-3 NoGood detection,10589,0.789679,1397,627,132.533,637,25612,24980,0.00,377068,0.05,2023,132.705,1993,826617, ,0.172,"satisfy",826617,0, ,0,200,1578798941,630,264692,400,0.00,76803198,209,1468377
data/knapsack-200-10.dzn,Model with length-3 NoGoods,274484,10.6121,400,201,0.122,3,276614,276411,0.00,2,0.00,402,1.287,400,606,0.112,1.165,"maximize",606,0,10709,9, ,1578799089,201,1, ,0.00,1790,8,648
data/knapsack-200-10.dzn,Length-4 NoGood detection,275294,24.8328,1610,636, , , , , , , ,2244, ,2219, , , ,"satisfy", ,0, , ,200, , ,615,400, , , , 
data/knapsack-200-10.dzn,Model with length-4 NoGoods, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
data/knapsack-200-1.dzn,Model with manual Dominance, ,0.333868, ,201,128.650,9620,10428,10225,0.00,54,0.12,9619,128.740, ,3846892,128.294,0.090,"maximize",3846892,0,10548,137, ,1578802562,201,1, ,0.00,771771099,16,3847887
data/knapsack-200-1.dzn,Model without without Dominance, ,0.0578764, ,201,3599.943,3,9949,9746,0.00,0,0.01,2,3599.947, ,64870855,2788.738,0.004,"maximize",64870855,0,2507,126, ,1578802691,201,1, ,0.00,208464862,41,64874982
data/knapsack-200-1.dzn,Length-2 NoGood detection,206,0.248876,606,218,1.486,27,7818,7596,0.00,11805,0.02,624,1.529,611,12395, ,0.043,"satisfy",12395,0, ,0, ,1578806291,220,9617, ,0.00,425231,32,24200
data/knapsack-200-1.dzn,Model with length-2 NoGoods,9617,0.338687,379,201,119.721,3,20434,20231,0.00,54,0.01,391,119.788,389,3846892,119.393,0.067,"maximize",3846892,0,10548,137, ,1578806293,201,1,10,0.00,9900421,16,3847887
