Instance,Model,flatBoolConstraints,flatTime,evaluatedReifiedConstraints,flatIntVars,solveTime,propagators,variables,boolVariables,baseMem,backjumps,trailMem,flatIntConstraints,time,flatBoolVars,nogoods,optTime,initTime,method,failures,paths,objective,restarts,eliminatedImplications,randomSeed,intVars,nSolutions,evaluatedHalfReifiedConstraints,peakMem,propagations,peakDepth,nodes
data/knapsack-150-10.dzn,Model with manual Dominance, ,0.21721, ,151,27.248,5058,6561,6408,0.00,392,0.08,5057,27.304, ,1014295,27.163,0.056,"maximize",1014295,0,5562,116, ,1578794530,151,1, ,0.00,149716223,13,1015369
data/knapsack-150-10.dzn,Model without without Dominance, ,0.0553501, ,151,3599.947,3,8799,8646,0.00,0,0.01,2,3599.950, ,93030595,3023.734,0.003,"maximize",93030595,0,1904,195, ,1578794557,151,1, ,0.00,296374473,38,93036255
data/knapsack-150-10.dzn,Length-2 NoGood detection,156,0.209017,456,168,0.657,27,5892,5720,0.00,5830,0.02,474,0.677,461,7015, ,0.020,"satisfy",7015,0, ,0, ,1578798157,170,5055, ,0.00,249069,21,12845
data/knapsack-150-10.dzn,Model with length-2 NoGoods,5055,0.212282,279,151,28.654,3,11909,11756,0.00,399,0.01,295,28.705,293,1014309,28.569,0.051,"maximize",1014309,0,5562,116, ,1578798159,151,1,14,0.00,2614455,13,1015632
data/knapsack-150-10.dzn,Length-3 NoGood detection,5656,0.490072,1051,477,43.066,487,16951,16469,0.00,114760,0.05,1527,43.188,1501,332653, ,0.122,"satisfy",332653,0, ,0,150,1578798188,480,116975,300,0.00,28080111,167,564388
data/knapsack-150-10.dzn,Model with length-3 NoGoods,122030,4.74722,299,151,0.050,3,123511,123358,0.00,3,0.00,302,0.610,300,283,0.048,0.560,"maximize",283,0,5562,6, ,1578798238,151,1,1,0.00,752,7,316
data/knapsack-150-10.dzn,Length-4 NoGood detection,122640,10.857,1210,486,3037.232,497,136808,136316,0.00,4892972,0.05,1694,3038.243,1669,15349278, ,1.011,"satisfy",15349278,0, ,0,150,1578798251,490,732028,300,0.00,1260474828,169,20999786
data/knapsack-150-10.dzn,Model with length-4 NoGoods,854058,37.0417,300,151,0.553,3,855422,855269,0.00,0,0.00,302,4.586,300,158,0.537,4.033,"maximize",158,0,5562,3, ,1578801340,151,1, ,0.00,370,5,172
data/knapsack-150-1.dzn,Model with manual Dominance, ,0.245221, ,151,6.088,5638,4907,4754,0.00,43,0.08,5637,6.148, ,235503,6.088,0.060,"maximize",235503,0,6068,68, ,1578801345,151,1, ,0.00,33485760,14,235968
data/knapsack-150-1.dzn,Model without without Dominance, ,0.0596749, ,151,3599.940,3,7564,7411,0.00,0,0.01,2,3599.944, ,96223477,3465.235,0.004,"maximize",96223477,0,1812,135, ,1578801351,151,1, ,0.00,307065978,35,96226773
data/knapsack-150-1.dzn,Length-2 NoGood detection,156,0.225745,456,168,0.677,27,5900,5728,0.00,5841,0.02,474,0.711,461,7199, ,0.034,"satisfy",7199,0, ,0, ,1578804952,170,5635, ,0.00,243122,35,13040
data/knapsack-150-1.dzn,Model with length-2 NoGoods,5635,0.223282,283,151,5.461,3,10832,10679,0.00,43,0.01,292,5.502,290,235503,5.460,0.041,"maximize",235503,0,6068,68, ,1578804953,151,1,7,0.00,594781,14,235968
data/knapsack-150-1.dzn,Length-3 NoGood detection,6233,0.531443,1048,477,46.493,487,17537,17055,0.00,109176,0.05,1524,46.600,1495,348852, ,0.107,"satisfy",348852,0, ,0,150,1578804959,480,95023,300,0.00,30699015,160,553050
data/knapsack-150-1.dzn,Model with length-3 NoGoods,100658,3.64162,299,151,0.039,3,102048,101895,0.00,0,0.00,302,0.511,300,174,0.039,0.472,"maximize",174,0,6068,9, ,1578805011,151,1,1,0.00,446,4,205
data/knapsack-150-1.dzn,Length-4 NoGood detection,101268,8.7361,1210,486,3181.385,497,115452,114960,0.00,5599747,0.05,1694,3182.202,1669,18616012, ,0.817,"satisfy",18616012,0, ,0,150,1578805021,490,543348,300,0.00,1521590126,186,24787220
data/knapsack-150-1.dzn,Model with length-4 NoGoods,644006,28.2256,300,151,0.249,3,645354,645201,0.00,0,0.00,302,3.291,300,141,0.246,3.042,"maximize",141,0,6068,4, ,1578808241,151,1, ,0.00,316,3,154
data/knapsack-150-2.dzn,Model with manual Dominance, ,0.204754, ,151,22.529,5337,5950,5797,0.00,43,0.08,5336,22.587, ,783391,18.234,0.058,"maximize",783391,0,6102,101, ,1578808245,151,1, ,0.00,100657153,16,784094
data/knapsack-150-2.dzn,Model without without Dominance, ,0.0602667, ,151,3599.940,3,10157,10004,0.00,0,0.01,2,3599.944, ,78061119,2406.698,0.004,"maximize",78061119,0,2082,132, ,1578808268,151,1, ,0.00,251267116,36,78064695
data/knapsack-150-2.dzn,Length-2 NoGood detection,156,0.296829,456,168,0.715,27,5940,5768,0.00,4590,0.02,474,0.749,461,7569, ,0.034,"satisfy",7569,0, ,0, ,1578811868,170,5334, ,0.00,257872,26,12159
data/knapsack-150-2.dzn,Model with length-2 NoGoods,5334,0.218533,281,151,20.897,3,11574,11421,0.00,43,0.01,292,20.950,290,783391,16.927,0.053,"maximize",783391,0,6102,101, ,1578811869,151,1,9,0.00,2048399,16,784160
data/knapsack-150-2.dzn,Length-3 NoGood detection,5932,0.51,1048,477,39.367,487,17296,16814,0.00,120955,0.05,1524,39.471,1495,323634, ,0.104,"satisfy",323634,0, ,0,150,1578811891,480,98938,300,0.00,26668035,157,543527
data/knapsack-150-2.dzn,Model with length-3 NoGoods,104272,3.80533,299,151,0.026,3,105748,105595,0.00,11,0.00,302,0.509,300,295,0.019,0.483,"maximize",295,0,6102,6, ,1578811936,151,1,1,0.00,836,7,343
data/knapsack-150-2.dzn,Length-4 NoGood detection,104882,9.30147,1210,486,2785.369,497,119146,118654,0.00,4630266,0.05,1694,2786.205,1669,15535803, ,0.836,"satisfy",15535803,0, ,0,150,1578811947,490,657950,300,0.00,1321156392,176,20825727
data/knapsack-150-2.dzn,Model with length-4 NoGoods,762222,33.8653,300,151,0.222,3,763616,763463,0.00,0,0.00,302,3.670,300,205,0.216,3.448,"maximize",205,0,6102,4, ,1578814780,151,1, ,0.00,483,6,223
data/knapsack-150-3.dzn,Model with manual Dominance, ,0.232551, ,151,10.184,5851,3747,3594,0.00,36,0.12,5850,10.246, ,389959,5.787,0.062,"maximize",389959,0,5850,55, ,1578814784,151,1, ,0.00,41977077,14,390341
data/knapsack-150-3.dzn,Model without without Dominance, ,0.05993, ,151,3599.940,3,8931,8778,0.00,0,0.01,2,3599.944, ,85434942,2853.005,0.004,"maximize",85434942,0,1849,140, ,1578814794,151,1, ,0.00,275914630,32,85438365
data/knapsack-150-3.dzn,Length-2 NoGood detection,156,0.251604,456,168,0.773,27,5920,5748,0.00,6784,0.02,474,0.807,461,7748, ,0.034,"satisfy",7748,0, ,0, ,1578818394,170,5848, ,0.00,261995,31,14532
data/knapsack-150-3.dzn,Model with length-2 NoGoods,5848,0.261958,283,151,9.782,3,9888,9735,0.00,36,0.00,295,9.839,293,389959,5.464,0.057,"maximize",389959,0,5850,55, ,1578818396,151,1,10,0.00,1087189,14,390444
data/knapsack-150-3.dzn,Length-3 NoGood detection,6449,0.537496,1051,477,39.892,487,17786,17304,0.00,162846,0.04,1527,40.001,1501,337143, ,0.109,"satisfy",337143,0, ,0,150,1578818406,480,91989,300,0.00,24434074,183,607614
data/knapsack-150-3.dzn,Model with length-3 NoGoods,97837,3.59077,298,151,0.029,3,99317,99164,0.00,2,0.00,300,0.490,298,292,0.021,0.461,"maximize",292,0,5850,3, ,1578818452,151,1, ,0.00,756,7,308
data/knapsack-150-3.dzn,Length-4 NoGood detection,98445,8.27877,1208,486,2980.080,497,112667,112175,0.00,5682579,0.05,1692,2980.908,1665,16271564, ,0.828,"satisfy",16271564,0, ,0,150,1578818461,490,554438,300,0.00,1417989173,187,22521808
data/knapsack-150-3.dzn,Model with length-4 NoGoods,652275,27.5725,299,151,0.325,3,653650,653497,0.00,0,0.00,301,3.254,299,171,0.287,2.929,"maximize",171,0,5850,2, ,1578821480,151,1, ,0.00,382,4,179
data/knapsack-150-4.dzn,Model with manual Dominance, ,0.229662, ,151,15.665,5538,6203,6050,0.00,39,0.08,5537,15.725, ,593487,15.643,0.060,"maximize",593487,0,5800,89, ,1578821484,151,1, ,0.00,96522591,13,594140
data/knapsack-150-4.dzn,Model without without Dominance, ,0.0605964, ,151,3599.939,3,10112,9959,0.00,0,0.01,2,3599.943, ,80591420,3371.213,0.004,"maximize",80591420,0,2239,185, ,1578821499,151,1, ,0.00,264295586,38,80596654
data/knapsack-150-4.dzn,Length-2 NoGood detection,156,0.172564,456,168,0.727,27,5928,5756,0.00,6203,0.02,474,0.761,461,7242, ,0.034,"satisfy",7242,0, ,0, ,1578825100,170,5535, ,0.00,244359,20,13445
data/knapsack-150-4.dzn,Model with length-2 NoGoods,5535,0.225688,278,151,14.357,3,12029,11876,0.00,39,0.01,293,14.400,291,593487,14.336,0.043,"maximize",593487,0,5800,89, ,1578825101,151,1,13,0.00,1524899,14,594318
data/knapsack-150-4.dzn,Length-3 NoGood detection,6134,0.520839,1049,477,48.170,487,17481,16999,0.00,114416,0.05,1525,48.294,1497,347706, ,0.124,"satisfy",347706,0, ,0,150,1578825116,480,108872,300,0.00,31433282,173,570994
data/knapsack-150-4.dzn,Model with length-3 NoGoods,114407,4.41434,299,151,0.059,3,115902,115749,0.00,20,0.01,302,0.567,300,270,0.058,0.508,"maximize",270,0,5800,7, ,1578825171,151,1,1,0.00,642,6,315
data/knapsack-150-4.dzn,Length-4 NoGood detection,115017,10.0445,1210,486,2496.897,497,129257,128765,0.00,4468685,0.05,1694,2497.842,1669,13355948, ,0.945,"satisfy",13355948,0, ,0,150,1578825182,490,616155,300,0.00,1080559382,170,18451972
data/knapsack-150-4.dzn,Model with length-4 NoGoods,730562,31.927,300,151,0.745,3,731971,731818,0.00,0,0.01,302,4.043,300,195,0.739,3.298,"maximize",195,0,5800,5, ,1578827723,151,1, ,0.00,419,6,214
data/knapsack-150-5.dzn,Model with manual Dominance, ,0.22403, ,151,83.235,5072,7061,6908,0.00,30,0.08,5071,83.291, ,2517833,83.235,0.056,"maximize",2517833,0,5011,134, ,1578827728,151,1, ,0.00,309475832,18,2518870
data/knapsack-150-5.dzn,Model without without Dominance, ,0.0636919, ,151,3599.936,3,9945,9792,0.00,0,0.01,2,3599.940, ,84946336,2467.539,0.004,"maximize",84946336,0,1575,141, ,1578827812,151,1, ,0.00,291419164,36,84949864
data/knapsack-150-5.dzn,Length-2 NoGood detection,156,21.9571,456,168,0.660,27,5904,5732,0.00,4683,0.02,474,0.694,461,7174, ,0.034,"satisfy",7174,0, ,0, ,1578831435,170,5069, ,0.00,251732,26,11857
data/knapsack-150-5.dzn,Model with length-2 NoGoods,5069,1.00012,279,151,74.172,3,12419,12266,0.00,30,0.01,291,74.224,289,2472114,74.172,0.052,"maximize",2472114,0,5011,134, ,1578831438,151,1,10,0.00,7106057,18,2473259
data/knapsack-150-5.dzn,Length-3 NoGood detection,5666,13.9272,1047,477,42.497,487,16975,16493,0.00,112054,0.05,1523,42.619,1493,338665, ,0.122,"satisfy",338665,0, ,0,150,1578831527,480,97779,300,0.00,28447807,161,548498
data/knapsack-150-5.dzn,Model with length-3 NoGoods,102848,3.762,298,151,0.056,3,104454,104301,0.00,11,0.00,301,0.539,299,527,0.055,0.483,"maximize",527,0,5011,6, ,1578831578,151,1,1,0.00,1489,9,572
data/knapsack-150-5.dzn,Length-4 NoGood detection,103457,27.1134,1209,486, , , , , , , ,1693, ,1667, , , ,"satisfy", ,0, , ,150, , ,299828,300, , , , 
data/knapsack-150-5.dzn,Model with length-4 NoGoods, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
data/knapsack-150-6.dzn,Model with manual Dominance, ,0.232063, ,151,31.867,5713,7090,6937,0.00,48,0.12,5712,31.928, ,1170462,31.864,0.061,"maximize",1170462,0,5980,171, ,1578835144,151,1, ,0.00,186250757,17,1171871
data/knapsack-150-6.dzn,Model without without Dominance, ,0.0597748, ,151,3599.941,3,11020,10867,0.00,0,0.01,2,3599.945, ,67057464,1152.034,0.004,"maximize",67057464,0,2485,123, ,1578835176,151,1, ,0.00,222233467,36,67060815
data/knapsack-150-6.dzn,Length-2 NoGood detection,156,0.240443,456,168,0.743,27,5916,5744,0.00,6242,0.02,474,0.777,461,7965, ,0.034,"satisfy",7965,0, ,0, ,1578838776,170,5710, ,0.00,280264,23,14207
data/knapsack-150-6.dzn,Model with length-2 NoGoods,5710,0.210513,286,151,28.933,3,13093,12940,0.00,48,0.01,295,28.972,293,1170463,28.931,0.039,"maximize",1170463,0,5980,171, ,1578838778,151,1,7,0.00,3330012,17,1172002
data/knapsack-150-6.dzn,Length-3 NoGood detection,6311,0.521008,1051,477,42.374,487,17642,17160,0.00,128709,0.04,1527,42.493,1501,335286, ,0.119,"satisfy",335286,0, ,0,150,1578838807,480,91496,300,0.00,27758971,181,561856
data/knapsack-150-6.dzn,Model with length-3 NoGoods,97206,3.39286,297,151,0.055,3,98724,98571,0.00,11,0.00,300,0.505,298,375,0.053,0.450,"maximize",375,0,5980,7, ,1578838855,151,1,1,0.00,1002,7,417
data/knapsack-150-6.dzn,Length-4 NoGood detection,97814,8.08333,1208,486,3191.731,497,112028,111536,0.00,5561404,0.05,1692,3192.521,1665,17087797, ,0.790,"satisfy",17087797,0, ,0,150,1578838864,490,506965,300,0.00,1587394674,159,23164391
data/knapsack-150-6.dzn,Model with length-4 NoGoods,604171,25.422,299,151,0.462,3,605573,605420,0.00,1,0.00,301,3.164,299,205,0.453,2.702,"maximize",205,0,5980,6, ,1578842092,151,1, ,0.00,504,6,231
data/knapsack-150-7.dzn,Model with manual Dominance, ,0.273135, ,151,3.565,5875,5150,4997,0.00,47,0.08,5874,3.609, ,151606,3.565,0.044,"maximize",151606,0,5665,114, ,1578842096,151,1, ,0.00,20112821,14,152360
data/knapsack-150-7.dzn,Model without without Dominance, ,0.0647371, ,151,3599.935,3,10097,9944,0.00,0,0.01,2,3599.941, ,87202531,3214.835,0.006,"maximize",87202531,0,2068,131, ,1578842099,151,1, ,0.00,276454564,36,87206197
data/knapsack-150-7.dzn,Length-2 NoGood detection,156,0.250857,456,168,0.752,27,5928,5756,0.00,5678,0.02,474,0.785,461,7889, ,0.033,"satisfy",7889,0, ,0, ,1578845700,170,5872, ,0.00,257373,31,13567
data/knapsack-150-7.dzn,Model with length-2 NoGoods,5872,0.255675,277,151,3.281,3,11311,11158,0.00,47,0.01,291,3.337,289,151606,3.281,0.056,"maximize",151606,0,5665,114, ,1578845701,151,1,12,0.00,391349,14,152360
